DateOccured,MonthReportedtoMSHP,Count,Crime,District,Neighborhood,XCoord,YCoord,TMAX  ,TMIN  
2012-08-25,2012-09,1,65701,1,5,887281.5,1000977.0,328.0,222.0
2012-08-25,2012-09,1,142320,5,65,904057.7,1030305.0,328.0,222.0
2012-08-25,2012-09,1,69602,3,15,892598.8,1004860.0,328.0,222.0
2012-08-25,2012-09,1,51312,7,49,884539.5,1028101.0,328.0,222.0
2012-08-25,2012-09,1,266999,8,57,893536.9,1028555.0,328.0,222.0
2012-08-25,2012-09,1,69602,3,15,892598.8,1004860.0,328.0,222.0
2012-08-25,2012-09,1,264100,5,60,902711.3,1028626.0,328.0,222.0
2012-08-26,2012-09,1,64701,8,58,895342.3,1026131.0,306.0,217.0
2012-08-26,2012-09,1,142320,9,38,890645.3,1021826.0,306.0,217.0
2012-08-26,2012-09,1,121000,2,8,878653.4,1004650.0,306.0,217.0
2012-08-26,2012-09,1,266999,4,61,906523.9,1021998.0,306.0,217.0
2012-08-26,2012-09,1,67701,4,36,903842.8,1020097.0,306.0,217.0
2012-08-26,2012-09,-1,67701,1,16,0.0,0.0,306.0,217.0
2012-08-26,2012-09,1,41013,8,54,890434.1,1027422.0,306.0,217.0
2012-08-26,2012-09,1,91124,6,68,898746.8,1036722.0,306.0,217.0
2012-08-26,2012-09,1,51312,1,16,892445.8,1001143.0,306.0,217.0
2012-08-27,2012-09,1,266510,1,16,892506.4,998621.4,311.0,222.0
2012-08-27,2012-09,1,265321,1,17,896340.0,998145.2,311.0,222.0
2012-08-27,2012-09,1,264100,5,66,902664.7,1034558.0,311.0,222.0
2012-08-27,2012-09,-1,69703,9,38,0.0,0.0,311.0,222.0
2012-08-27,2012-09,1,51312,1,5,885796.0,999152.7,311.0,222.0
2012-08-27,2012-09,1,117000,5,66,904383.9,1033843.0,311.0,222.0
2012-08-27,2012-09,-1,265321,1,1,0.0,0.0,311.0,222.0
2012-08-27,2012-09,1,182250,4,36,904990.8,1018745.0,311.0,222.0
2012-08-27,2012-09,1,266999,4,61,904864.7,1021339.0,311.0,222.0
2012-08-27,2012-09,1,266999,6,72,891304.1,1042521.0,311.0,222.0
2012-08-27,2012-09,1,265321,1,5,889074.3,999728.4,311.0,222.0
2012-08-27,2012-09,1,266999,1,1,886074.1,989847.0,311.0,222.0
2012-08-27,2012-09,1,142320,1,1,886074.1,989847.0,311.0,222.0
2012-08-27,2012-09,1,65701,9,31,899701.4,1014582.0,311.0,222.0
2012-08-28,2012-09,1,67601,3,25,897259.8,1009178.0,339.0,189.0
2012-08-28,2012-09,1,65701,1,1,892313.8,992903.8,339.0,189.0
2012-08-28,2012-09,1,266999,8,55,891694.5,1032250.0,339.0,189.0
2012-08-28,2012-09,1,71030,2,45,876096.1,1019530.0,339.0,189.0
2012-08-28,2012-09,-1,71013,2,45,876096.1,1019530.0,339.0,189.0
2012-08-28,2012-09,1,183400,4,36,904757.6,1018225.0,339.0,189.0
2012-08-28,2012-09,1,31311,1,2,887410.8,985578.3,339.0,189.0
2012-08-28,2012-09,1,67601,8,56,896156.0,1032052.0,339.0,189.0
2012-08-28,2012-09,1,51322,2,10,874255.5,1012952.0,339.0,189.0
2012-08-28,2012-09,1,264100,6,76,888331.1,1043760.0,339.0,189.0
2012-08-28,2012-09,1,142320,1,5,884477.0,999267.3,339.0,189.0
2012-08-28,2012-09,1,266999,1,2,888072.4,989032.4,339.0,189.0
2012-08-28,2012-09,1,64601,6,69,892783.3,1034272.0,339.0,189.0
2012-08-28,2012-09,1,115100,2,12,881565.8,1015477.0,339.0,189.0
2012-08-28,2012-09,1,266999,8,54,889725.5,1027159.0,339.0,189.0
2012-08-28,2012-09,1,266999,2,7,881154.3,1004600.0,339.0,189.0
2012-08-28,2012-09,1,152200,7,50,0.0,0.0,339.0,189.0
2012-08-28,2012-09,-1,41011,7,50,0.0,0.0,339.0,189.0
2012-08-28,2012-09,1,266999,4,61,904745.6,1022621.0,339.0,189.0
2012-08-29,2012-09,-1,73313,1,16,0.0,0.0,328.0,194.0
2012-08-29,2012-09,1,65701,3,0,0.0,0.0,328.0,194.0
2012-08-29,2012-09,1,44014,2,11,880484.8,1011441.0,328.0,194.0
